id,mst,ten_nnt,dia_chi,cqt
1,3200011445,"Công Ty Cổ Phần Sơn Hải Thủy Điện Quảng Trị","Thôn Ta Liêng, Xã Đa Krông, Huyện Đa Krông, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
2,3200256188,"Công Ty Cổ Phần Kỹ Thuật Hạ Tầng Năng Lượng 711","20 Nguyễn Tri Phương, Khu Phố 3, Phường 5, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
3,3200266732,"Công Ty Cổ Phần Thủy Điện Đakrông","Thôn Xa Lăng, Xã Đa Krông, Huyện Đa Krông, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
4,3200573934,"Công Ty TNHH MTV Phong Điện Ubi Quảng Trị","Phòng Tài chính - Kế toán, Tầng 6, tòa nhà VP số 9 Láng Hạ, Phường Thành Công, Quận Ba Đình,",Cục Thuế tỉnh Quảng Trị
5,3200608577,"Công Ty Cổ Phần Năng Lượng Quảng Trị","Số 08 đường Thân Nhân Trung, Phường Đông Lương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
6,3100405534-003,"Chi Nhánh Công Ty Cổ Phần Thủy Điện Trường Sơn Tại Quảng Trị","Khu Công nghiệp Tây Bắc, Thành phố Đồng Hới,",Cục Thuế tỉnh Quảng Trị
7,3200622959,"Công Ty Cổ Phần Thủy Điện Bản Mới","Thôn Xa Lăng, Xã Đa Krông, Huyện Đa Krông, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
8,0107884601,"Công Ty Cổ Phần Thủy Điện Yên Nhân","Số nhà 25, Đường Thanh Tịnh, Khu phố 2, Phường 5, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
9,0400599162-003,"Chi Nhánh Công Ty Cổ Phần Đầu Tư Điện Lực 3 Tại Quảng Trị","Thôn Húc Nghì, Xã Húc Nghì, Huyện Đa Krông, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
10,3200643518,"Công Ty Cổ Phần Năng Lượng Gio Thành","Thôn Nhĩ Hạ, Xã Gio Hải, Huyện Gio Linh, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
11,3200643525,"Công Ty Cổ Phần Seco","Thôn Nhĩ Hạ, Xã Gio Hải, Huyện Gio Linh, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
12,3100317359-001,"Chi Nhánh Công Ty Cổ Phần Tổng Công Ty Tân Hoàn Cầu Tại Quảng Trị","Số 291 Quốc lộ 9, Phường 3, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
13,3200643701,"Công Ty Cổ Phần Khai Thác Năng Lượng Quảng Trị","Km 72, Quốc lộ 9, Xã Tân Long, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
14,3200646413,"Công Ty Cổ Phần Điện Gió Hướng Linh 3","Thôn Cooc, Xã Hướng Linh, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
15,3200649453,"Công Ty Cổ Phần Điện Gió Hướng Linh 4","Thôn Cooc, Xã Hướng Linh, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
16,3200650561,"Công Ty Cổ Phần Điện Gió Hướng Linh 2","Thôn Cooc, Xã Hướng Linh, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
17,3200655224,"Công Ty Cổ Phần Điện Gió Hướng Linh 5","Thôn Cooc, Xã Hướng Linh, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
18,3200677549,"Công Ty TNHH Điện Gió Hướng Phùng","Số 03, Nguyễn Viết Xuân, Thị trấn Khe Sanh, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
19,3200679472,"Công Ty Cổ Phần Điện Gió Hlp Quảng Trị","Phòng 202 Nhà B, số 08 Chu Văn An, Phường Điện Biên, Quận Ba Đình,",Cục Thuế tỉnh Quảng Trị
20,3200684803,"Công Ty TNHH Đầu Tư Hướng Sơn","Thôn Tà Liêng, Xã Đa Krông, Huyện Đa Krông, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
21,3200685620,"Công Ty Cổ Phần Năng Lượng Gelex Quảng Trị","Số 03 Nguyễn Viết Xuân, Thị trấn Khe Sanh, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
22,3200688847,"Công Ty Cổ Phần Điện Gió Liên Lập","Thôn Của, Xã Hướng Tân, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
23,3200688815,"Công Ty Cổ Phần Điện Gió Hướng Tân","Thôn Của, Xã Hướng Tân, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
24,3200688822,"Công Ty Cổ Phần Điện Gió Tân Linh","Thôn Của, Xã Hướng Tân, Huyện Hướng Hoá, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
25,3200694985,"Công Ty Cổ Phần Điện Gió Thăng Long - Hướng Sơn 1","Đường K2 – Khu công nghiệp Nam Đông Hà, Phường Đông Lương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
26,3200695107,"Công Ty Cổ Phần Điện Gió Thăng Long - Hướng Sơn 2","Đường K2 – Khu công nghiệp Nam Đông Hà, Phường Đông Lương, Thành phố Đông Hà, Tỉnh Quảng Trị",Cục Thuế tỉnh Quảng Trị
