ID,MST,Ten_NNT,Dia_chi,CQT
1234,3200256188,Công ty Cổ phần kỹ thuật hạ tầng năng lượng 711,"20 Nguyễn Tri Phương, Khu Phố 3, phường 5, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1235,3200266732,Công ty Cổ phần Thủy điện Đakrông,"Thôn Xa Lăng, xã Đa Krông, huyện Đa Krông, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1236,3200573934,Công ty TNHH Một thành viên Phong Điện Ubi Quảng Trị,"Thôn Mới, xã Hướng Linh, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1237,3200608577,Công ty Cổ phần Năng lượng Quảng Trị,"Số 08 đường Thân Nhân Trung, phường Đông Lương, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1238,3100405534-003,Chi nhánh Công ty Cổ phần Thủy điện Trường Sơn tại Quảng Trị,"ThônPahy, xã Tà Long, huyện Đa Krông, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1239,3200622959,Công ty Cổ phần Thủy điện Bản Mới,"Thôn Xa Lăng, xã Đa Krông, huyện Đa Krông, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1240,0107884601,Công ty Cổ phần Thủy điện Lộc Nam,"Số nhà 25, Đường Thanh Tịnh, Khu phố 2, phường 5, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1241,0400599162-003,Chi nhánh Công ty Cổ phần Đầu tư Điện Lực 3 tại Quảng Trị,"Thôn Húc Nghì, xã Húc Nghì, huyện Đa Krông, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1242,3200643525,Công ty Cổ phần Seco,"Thôn Nhĩ Hạ, xã Gio Hải, huyện Gio Linh, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1243,3100317359-001,Chi nhánh Công ty Cổ phần Tổng Công ty Tân Hoàn Cầu tại Quảng Trị,"Số 291 Quốc lộ 9, phường 3, TP Đông Hà, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1244,3200643701,Công ty Cổ phần Khai Thác Năng lượng Quảng Trị,"Km 72, Quốc lộ 9, xã Tân Long, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1245,3200646413,Công ty Cổ phần Điện gió Hướng Linh 3,"Thôn Cooc, xã Hướng Linh, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1246,3200649453,Công ty Cổ phần Điện gió Hướng Linh 4,"Thôn Cooc, xã Hướng Linh, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1247,3200655224,Công ty Cổ phần Điện gió Hướng Linh 5,"Thôn Cooc, xã Hướng Linh, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1248,3200677549,Công ty Trách nhiệm hữu hạn Điện gió Hướng Phùng,"Số 03, Nguyễn Viết Xuân, thị trấn Khe Sanh, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1249,3200679472,Công ty Cổ phần Điện gió HLP Quảng Trị,"Số 190 Lê Duẩn, thị trấn Khe Sanh, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1250,3200684803,Công ty TNHH Đầu tư Hướng Sơn,"Thôn Ta Liêng, xã Đa Krông, huyện Đa Krông, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1251,3200685620,Công ty TNHH Năng lượng Gelex Quảng Trị,"Thôn Xa Bai, xã Hướng Linh, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1252,3200688847,Công ty Cổ phần Điện gió Liên Lập,"Thôn Của, xã Hướng Tân, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1253,3200688815,Công ty Cổ phần Điện gió Hướng Tân,"Thôn Của, xã Hướng Tân, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
1254,3200688822,Công ty Cổ phần Điện gió Tân Linh,"Thôn Của, xã Hướng Tân, huyện Hướng Hoá, tỉnh Quảng Trị",Chi cục Thuế khu vực XI
